meal_id,category,calories_kcal,protein_g,carb_g,fat_g,goal_suitability,diet_type,prep_time,price_range,meal_time_breakfast,meal_time_lunch,meal_time_dinner,meal_time_snack,region_General,region_Hausa/North,region_South-South,region_Southeast/Igbo,region_Yoruba/Southwest,taste_profile_bitter-savory,taste_profile_mild,taste_profile_mild-savory,taste_profile_mild-sweet,taste_profile_savory,taste_profile_savory-mild,taste_profile_savory-smoky,taste_profile_savory-sour,taste_profile_savory-spicy,taste_profile_savory-sweet,taste_profile_smoky-spicy,taste_profile_sour-savory,taste_profile_sour-sweet,taste_profile_spicy,taste_profile_spicy-savory,taste_profile_spicy-smoky,taste_profile_spicy-sweet,taste_profile_sweet,taste_profile_sweet-savory,taste_profile_sweet-sour,taste_profile_sweet-spicy,macro_ratio_protein,macro_ratio_carb,macro_ratio_fat,calorie_density,protein_per_100kcal
0,2,0.349398,0.52381,0.438596,0.25,1,2,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.410367,0.525227,0.336848,1,0.436217
1,2,0.421687,0.619048,0.473684,0.35,2,3,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.412347,0.478377,0.400838,1,0.443548
2,2,0.771084,0.809524,0.526316,0.875,2,4,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.350252,0.335667,0.650874,2,0.346041
3,2,0.481928,0.595238,0.491228,0.4,1,2,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37815,0.472199,0.436949,1,0.381965
4,2,0.566265,0.666667,0.508772,0.5,1,2,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37887,0.434823,0.488661,1,0.373167
5,2,0.445783,0.571429,0.508772,0.325,1,2,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.381389,0.515857,0.373104,1,0.390762
6,2,0.722892,0.714286,0.526316,0.8,2,4,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.329194,0.359555,0.634118,2,0.323314
7,2,0.518072,0.619048,0.491228,0.45,1,2,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37581,0.450062,0.469883,1,0.3739
8,2,0.409639,0.666667,0.438596,0.35,2,3,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.451944,0.450577,0.40806,1,0.489003
9,2,0.385542,0.619048,0.438596,0.3,2,3,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.445644,0.480231,0.371371,1,0.47654
10,2,0.53012,0.714286,0.491228,0.45,2,3,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.420266,0.435132,0.455294,1,0.423021
11,2,0.626506,0.714286,0.508772,0.6,2,3,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37491,0.399403,0.541673,1,0.366569
12,2,0.493976,0.571429,0.491228,0.4,1,2,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.366091,0.476421,0.440705,1,0.359238
13,2,0.843373,0.833333,0.578947,0.9,2,4,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.342333,0.350906,0.635852,2,0.329179
14,2,0.53012,0.571429,0.54386,0.4,1,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.348272,0.50175,0.419327,1,0.33871
15,2,0.60241,0.619048,0.561404,0.5,1,2,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.341613,0.466433,0.474505,1,0.328446
16,2,0.674699,0.761905,0.552632,0.65,2,3,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37041,0.400741,0.543406,2,0.366569
17,2,0.590361,0.642857,0.54386,0.5,1,2,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.357271,0.454901,0.477972,1,0.347507
18,2,0.554217,0.595238,0.54386,0.45,1,2,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.347552,0.479201,0.451683,1,0.339443
19,2,0.759036,0.714286,0.578947,0.8,2,4,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.317675,0.382208,0.611729,2,0.310117
20,2,0.650602,0.714286,0.54386,0.6,2,3,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364831,0.415568,0.527084,2,0.354839
21,2,0.385542,0.52381,0.491228,0.25,1,2,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.386249,0.553027,0.317059,1,0.403226
22,2,0.578313,0.619048,0.54386,0.5,1,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.346652,0.458505,0.481439,1,0.340176
23,2,0.891566,0.952381,0.578947,0.9,2,3,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38085,0.340815,0.619096,2,0.357771
24,2,0.542169,0.571429,0.54386,0.45,1,2,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.336213,0.483217,0.455294,1,0.332111
25,2,0.951807,0.857143,0.666667,0.95,2,4,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.324874,0.372941,0.619096,2,0.303519
26,2,0.746988,0.666667,0.640351,0.6,2,4,2,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.320914,0.462212,0.49675,2,0.293255
27,2,0.698795,0.619048,0.631579,0.5,1,4,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.322714,0.495778,0.448216,2,0.288856
28,2,0.771084,0.714286,0.631579,0.65,2,4,2,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.332253,0.43925,0.520006,2,0.305718
29,2,0.891566,0.761905,0.649123,0.9,2,4,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.304716,0.38437,0.619096,2,0.285924
30,2,0.819277,0.809524,0.631579,0.75,2,3,2,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.348632,0.404551,0.55554,2,0.327713
31,2,0.73494,0.666667,0.631579,0.6,1,4,2,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.323074,0.458814,0.500072,2,0.297654
32,2,0.722892,0.666667,0.649123,0.55,2,4,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.328294,0.480128,0.465839,2,0.302053
33,2,0.843373,0.857143,0.649123,0.8,2,3,2,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352232,0.395593,0.565217,2,0.33871
34,2,0.722892,0.666667,0.649123,0.55,2,4,2,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.328294,0.480128,0.465839,2,0.302053
35,2,0.783133,0.809524,0.596491,0.9,2,4,2,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.330814,0.359967,0.632385,2,0.341642
36,2,0.578313,0.619048,0.561404,0.5,1,2,2,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.341613,0.466433,0.474505,1,0.340176
37,2,0.650602,0.714286,0.561404,0.65,2,3,2,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.349532,0.410214,0.546873,2,0.354839
38,2,0.506024,0.571429,0.561404,0.45,1,2,2,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.330994,0.491042,0.448216,1,0.351906
39,2,0.722892,0.714286,0.578947,0.8,2,4,2,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.317675,0.382208,0.611729,2,0.323314
40,2,0.481928,0.571429,0.561404,0.4,1,2,2,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.342873,0.509679,0.412682,1,0.366569
41,2,0.614458,0.714286,0.561404,0.6,2,3,2,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.359971,0.423394,0.520006,1,0.372434
42,2,0.53012,0.619048,0.561404,0.5,1,2,2,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.341613,0.466433,0.474505,1,0.366569
43,2,0.795181,0.809524,0.596491,0.9,2,4,2,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.330814,0.359967,0.632385,2,0.33651
