food_name,category,region,meal_time,calories_kcal,protein_g,carb_g,fat_g,goal_suitability,diet_type,taste_profile,prep_time,price_range
Amala and Ewedu Soup,lunch,Yoruba/Southwest,"breakfast,lunch,dinner",370,22,52,10,maintenance,balanced,savory,medium,low
Amala and Ewedu and Gbegiri,lunch,Yoruba/Southwest,"lunch,dinner",430,26,56,14,weight_gain,high-protein,savory,medium,low
Amala and Egusi Soup,lunch,Yoruba/Southwest,"lunch,dinner",720,34,62,35,weight_gain,energy-rich,savory,medium,low
Amala and Okra Soup,lunch,Yoruba/Southwest,"lunch,dinner",480,25,58,16,maintenance,balanced,savory,medium,low
Amala and Efo Riro,lunch,Yoruba/Southwest,"lunch,dinner",550,28,60,20,maintenance,balanced,savory,medium,low
Amala and Gbegiri,lunch,Yoruba/Southwest,"lunch,dinner",450,24,60,13,maintenance,balanced,savory,medium,low
Amala and Ogbono Soup,lunch,Yoruba/Southwest,"lunch,dinner",680,30,62,32,weight_gain,energy-rich,savory,medium,low
Amala and Bitterleaf Soup,lunch,Yoruba/Southwest,"lunch,dinner",510,26,58,18,maintenance,balanced,bitter-savory,medium,low
Amala and Ewedu with Beef,lunch,Yoruba/Southwest,"lunch,dinner",420,28,52,14,weight_gain,high-protein,savory,medium,medium
Amala and Ewedu with Fish,lunch,Yoruba/Southwest,"lunch,dinner",400,26,52,12,weight_gain,high-protein,savory,medium,medium
Amala and Okra with Beef,lunch,Yoruba/Southwest,"lunch,dinner",520,30,58,18,weight_gain,high-protein,savory,medium,medium
Amala and Afang Soup,lunch,Yoruba/Southwest,"lunch,dinner",600,30,60,24,weight_gain,high-protein,savory,medium,medium
Amala and Vegetable Soup,lunch,Yoruba/Southwest,"lunch,dinner",490,24,58,16,maintenance,balanced,savory,medium,low
Eba and Egusi Soup,lunch,General,"lunch,dinner",780,35,68,36,weight_gain,energy-rich,savory,short,low
Eba and Okra Soup,lunch,General,"lunch,dinner",520,24,64,16,maintenance,balanced,savory,short,low
Eba and Efo Riro,lunch,Yoruba/Southwest,"lunch,dinner",580,26,66,20,maintenance,balanced,savory,short,low
Eba and Afang Soup,lunch,South-South,"lunch,dinner",640,32,65,26,weight_gain,high-protein,savory,medium,medium
Eba and Oha Soup,lunch,Southeast/Igbo,"lunch,dinner",570,27,64,20,maintenance,balanced,savory,medium,low
Eba and Bitterleaf Soup,lunch,General,"lunch,dinner",540,25,64,18,maintenance,balanced,bitter-savory,medium,low
Eba and Ogbono Soup,lunch,General,"lunch,dinner",710,30,68,32,weight_gain,energy-rich,savory,medium,low
Eba and Edikaikong Soup,lunch,South-South,"lunch,dinner",620,30,64,24,weight_gain,high-protein,savory,medium,medium
Eba and Ewedu Soup,lunch,Yoruba/Southwest,"lunch,dinner",400,22,58,10,maintenance,balanced,savory,short,low
Eba and Vegetable Soup,lunch,General,"lunch,dinner",560,26,64,20,maintenance,balanced,savory,short,low
Eba and Egusi with Chicken,lunch,General,"lunch,dinner",820,40,68,36,weight_gain,high-protein,savory,short,medium
Eba and Onugbu Soup,lunch,Southeast/Igbo,"lunch,dinner",530,24,64,18,maintenance,balanced,bitter-savory,medium,low
Pounded Yam and Egusi Soup,lunch,General,"lunch,dinner",870,36,78,38,weight_gain,energy-rich,savory,long,medium
Pounded Yam and Efo Riro,lunch,Yoruba/Southwest,"lunch,dinner",700,28,75,24,weight_gain,energy-rich,savory,long,medium
Pounded Yam and Okra Soup,lunch,General,"lunch,dinner",660,26,74,20,maintenance,energy-rich,savory,long,medium
Pounded Yam and Oha Soup,lunch,Southeast/Igbo,"lunch,dinner",720,30,74,26,weight_gain,energy-rich,savory,long,medium
Pounded Yam and Ogbono Soup,lunch,General,"lunch,dinner",820,32,76,36,weight_gain,energy-rich,savory,long,medium
Pounded Yam and Afang Soup,lunch,South-South,"lunch,dinner",760,34,74,30,weight_gain,high-protein,savory,long,medium
Pounded Yam and Bitterleaf Soup,lunch,General,"lunch,dinner",690,28,74,24,maintenance,energy-rich,bitter-savory,long,medium
Pounded Yam and Vegetable Soup,lunch,General,"lunch,dinner",680,28,76,22,weight_gain,energy-rich,savory,long,medium
Pounded Yam and Edikaikong,lunch,South-South,"lunch,dinner",780,36,76,32,weight_gain,high-protein,savory,long,medium
Pounded Yam and Gbegiri,lunch,Yoruba/Southwest,"lunch,dinner",680,28,76,22,weight_gain,energy-rich,savory,long,medium
Fufu and Egusi Soup,lunch,Southeast/Igbo,"lunch,dinner",730,34,70,36,weight_gain,energy-rich,savory,long,low
Fufu and Oha Soup,lunch,Southeast/Igbo,"lunch,dinner",560,26,66,20,maintenance,balanced,savory,long,low
Fufu and Afang Soup,lunch,South-South,"lunch,dinner",620,30,66,26,weight_gain,high-protein,savory,long,medium
Fufu and Bitterleaf Soup,lunch,Southeast/Igbo,"lunch,dinner",500,24,66,18,maintenance,balanced,bitter-savory,long,low
